miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-1229-5p	-0.0422	0.6526	0.934256849315068	0.0975	0.2976	0.822826708074534	0.1579
hsa-miR-1231	-0.141	0.131	0.581835483870968	-0.0232	0.8047	0.93178446866485	0.1904
hsa-miR-1231-3p:Novel	-0.0396	0.6728	0.935570169491525	-0.1004	0.2836	0.816847887323944	0.208
hsa-miR-124-5p	-0.2326	0.012	0.3272	-0.2399	0.0095	0.431722222222222	0.2706
hsa-miR-1246-3p:Novel	0.1587	0.0889	0.51545205479452	-0.0492	0.6002	0.887588848920863	0.1644
hsa-miR-1250-5p	0.2166	0.0195	0.3323125	0.1642	0.0782	0.75457536231884	0.2104
hsa-miR-1255b-5p	0.2247	0.0153	0.3323125	0.0636	0.4979	0.864694166666667	0.2129
hsa-miR-1257	0.0667	0.4771	0.816459832635983	-0.0395	0.674	0.899535275080906	0.1333
hsa-miR-1257-3p:Novel	0.0115	0.9025	0.981495128205128	-0.0183	0.8454	0.938483197831978	0.1253
hsa-miR-125b-5p	0.0082	0.9304	0.981495128205128	-0.0801	0.3927	0.825865384615385	0.1574
hsa-miR-1260a-3p:Novel	-0.1173	0.21	0.656834523809524	-0.1022	0.275	0.816847887323944	0.1697
hsa-miR-1260b	-0.1878	0.0435	0.432371428571429	-0.1562	0.0941	0.75457536231884	0.2119
hsa-miR-1267-3p:Novel	0.0202	0.8296	0.972860683760684	0.0199	0.832	0.93178446866485	0.1143
hsa-miR-1272	-0.2186	0.0184	0.3323125	-0.1346	0.1496	0.784441025641026	0.2269
hsa-miR-1272-3p:Novel	-0.036	0.7014	0.95306511627907	-0.0475	0.6126	0.890662765957447	0.1107
hsa-miR-1275-3p:Novel	0.0076	0.9359	0.981495128205128	-0.0053	0.9551	0.986110275689223	0.1607
hsa-miR-128-3p	-0.0658	0.483	0.8231125	0.0296	0.7528	0.93178446866485	0.1522
hsa-miR-1284	-0.2173	0.0191	0.3323125	-0.0532	0.5704	0.878892164179104	0.2097
hsa-miR-1285-3p	-0.0803	0.3912	0.765554066985646	-0.117	0.2112	0.808443925233645	0.1602
hsa-miR-1287-5p	-0.1117	0.2326	0.656834523809524	-0.11	0.24	0.810624590163934	0.1612
