ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
hsa-miR-4685-5p	14.9651512544478	-0.281643684131764	0.297513361615796	-0.946658941978798	0.343812598578936	0.738035291794875	former_vs_never	FALSE	14.078	17.185	14.06	10.076	5.169	4.288	4.04	5.288
hsa-miR-4686	1.46788114163232	-0.377456653207145	0.295608112171358	-1.2768819178695	0.201643938872824	NA	former_vs_never	NA	1.741	1.136	1.338	0.816	0.565	0.804	0.808	0.588
hsa-miR-4686-3p:Novel	3.77294547553098	-0.587835238755949	0.269640859447754	-2.18006736797932	0.0292524682119151	0.313640513080868	former_vs_never	FALSE	4.432	2.872	4.374	0.742	1.986	1.269	1.792	0.562
hsa-miR-4687-3p	25.3564188156722	0.294157956890697	0.328720872666833	0.894856339678902	0.370863888546971	0.756683085026942	former_vs_never	FALSE	20.554	30.479	29.453	26.182	5.902	7.105	11.951	13.949
hsa-miR-4687-5p	1.37405750852498	-0.545288045567754	0.308759490277125	-1.76606084262652	0.0773856419308946	NA	former_vs_never	NA	1.479	0.844	2.631	0.273	0.848	0	1.11	0
hsa-miR-4688	7.12733714089288	0.0303179609131029	0.384987129785323	0.0787505829870438	0.93723101097077	0.981402181123992	former_vs_never	FALSE	6.915	7.62	8.152	2.812	1.482	1.001	2.037	0.82
hsa-miR-4688-5p:Novel	2.84593740518793	-0.0673145095515715	0.246103010155804	-0.273521683090977	0.78445222689644	0.931552998944817	former_vs_never	FALSE	2.652	2.363	2.539	6.938	1.654	1.646	1.683	1.545
hsa-miR-4689	3.4642631779269	-1.06292521333733	0.379560413281848	-2.800411149695	0.00510375553516196	0.162109116489721	former_vs_never	FALSE	4.202	2.473	1.441	5.743	0.794	0.608	0.504	4.427
hsa-miR-4689-3p:Novel	4.87428296914003	-0.0221947294686069	0.197266020119568	-0.112511670561175	0.910417716728919	0.975484734791306	former_vs_never	FALSE	5.052	4.45	4.461	5.375	3.341	3.853	3.061	4.869
hsa-miR-4690-3p	5.62795498550961	0.33786750695087	0.249218758651641	1.35570656389932	0.175192550133506	0.613665119533067	former_vs_never	FALSE	5.311	6.349	5.112	4.596	2.46	2.452	2.96	2.052
hsa-miR-4690-5p	15.1460033005645	0.565655502207976	0.218402537601359	2.58996762775918	0.0095984957740812	0.216717844344918	former_vs_never	FALSE	12.548	18.947	16.981	11.007	7.771	10.527	12.151	7.804
hsa-miR-4691-3p	0.78832411345568	-0.204355236853568	0.336353809051897	-0.60756034673607	0.543479107038196	NA	former_vs_never	NA	0.775	0.737	0.839	0.887	0	0	0.37	0.727
hsa-miR-4691-5p	0.780355444638927	-0.329440015328214	0.579740454781982	-0.568254315549022	0.569862294835069	NA	former_vs_never	NA	1.075	0.531	0.35	0.29	0	0	0	0
hsa-miR-4692	5.14881649583604	-0.819555810721535	0.271691947953724	-3.01648914108093	0.00255720376958388	0.115900628297801	former_vs_never	FALSE	6.167	3.831	3.42	5.767	4.062	2.357	2.899	2.178
hsa-miR-4692-5p:Novel	3.41964724220913	-0.17842030627341	0.301041758591316	-0.592676268927949	0.55339782611325	0.851451170883605	former_vs_never	FALSE	3.12	3.324	5.331	1.765	1.787	1.308	1.212	1.039
hsa-miR-4693-3p	192.844056685094	-0.545662674648027	0.227465261072424	-2.39888355731951	0.0164451433100006	0.259181499850815	former_vs_never	FALSE	148.521	95.493	157.368	1083.908	79.496	56.467	77.683	97.381
hsa-miR-4693-5p	2.0854453725444	-0.811033556377838	0.57442959988687	-1.41189374039493	0.157981251129594	NA	former_vs_never	NA	3.092	1.325	0.656	0.014	0	0	0	0
hsa-miR-4694-3p	1.39066839560145	0.367682483218184	0.303327218495544	1.21216449035412	0.225449421308616	NA	former_vs_never	NA	1.239	1.607	0.924	2.259	0.544	1.007	0.277	0.656
hsa-miR-4694-5p	0.0425606113613554	0.0769303903331863	2.17688585741602	0.0353396527755953	0.971808904722788	NA	former_vs_never	NA	0.041	0.068	0.005	0	0	0	0	0
hsa-miR-4695-3p	0.214025375861811	-0.246202332438112	0.595471905278908	-0.41345751202619	0.679271445432542	NA	former_vs_never	NA	0.164	0.304	0.218	0.128	0	0	0	0
hsa-miR-4695-5p	24.3915195713405	-0.173769817824628	0.17693354066797	-0.982119145802442	0.326041154293207	0.735260075987329	former_vs_never	FALSE	25.119	22.809	21.225	27.895	18.665	18.526	14.933	20.276
hsa-miR-4696	0.910477142743654	0.37839963122553	0.365607827363568	1.03498777352281	0.300674621124719	NA	former_vs_never	NA	1.042	0.749	0.809	0.648	0	0	0	0
hsa-miR-4696-3p:Novel	1.34631004103556	-0.100072823100675	0.31143798104774	-0.321325044440662	0.747964079187696	NA	former_vs_never	NA	1.272	1.405	1.427	1.223	0.457	0.492	0.693	0.79
hsa-miR-4697-3p	0.246095881910755	-0.293011361775001	0.615498287519439	-0.476055527231255	0.634034819387389	NA	former_vs_never	NA	0.296	0.131	0.33	0.185	0	0	0	0
