ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averagea.drinker	Averagea.no_drinker	Mediana.drinker	Mediana.no_drinker
hsa-miR-4771	3.25977390421511	-0.150101068049775	0.56764959916686	-0.264425568643189	0.791452011531597	0.943319500097577	a.no_drinker_vs_a.drinker	FALSE	3.53275731667898	5.56181853041801	2.26951574973011	7.95995055132187
hsa-miR-4771-5p:Novel	17.8797207171126	0.452523151230482	0.810415722513221	0.558383973384844	0.576582214278301	0.865769563201304	a.no_drinker_vs_a.drinker	FALSE	19.2895076352994	25.1163266195153	9.7532594480269	17.9855639474689
hsa-miR-4772-3p	0.204694919459183	-1.17698331370715	2.31371187300949	-0.508699171853333	0.610963102976545	NA	a.no_drinker_vs_a.drinker	NA	0.256959865079065	0.0587035033385424	0	0
hsa-miR-4772-5p	0.457902536061275	0.0903566517158066	1.38065646198489	0.0654447027219979	0.947819932718317	NA	a.no_drinker_vs_a.drinker	NA	0.468617696393759	1.03215787374112	0	0.587035033385425
hsa-miR-4773	2.2705302145496	0.0551440085072038	0.624902872871028	0.0882441270494604	0.929682645776139	NA	a.no_drinker_vs_a.drinker	NA	2.51864736598402	3.23933917718262	1.81423382258324	1.33226399610881
hsa-miR-4773-5p:Novel	1.52613000540785	-0.378092753719723	0.912862134386973	-0.414183850416392	0.678739468111147	NA	a.no_drinker_vs_a.drinker	NA	1.57984290918088	1.20478575768086	0.812151545303315	1.30347504090334
hsa-miR-4774-3p	0.200175806668532	-0.457905470783116	4.47011041423871	-0.102437172317834	0.918409679603728	NA	a.no_drinker_vs_a.drinker	NA	0.255743454198319	0.638797023038419	0	0
hsa-miR-4774-5p	3.09199018766068	1.50275498281734	0.842378518523803	1.78394266920623	0.0744329814978274	0.464195160401391	a.no_drinker_vs_a.drinker	FALSE	3.33268051155987	6.75145599906935	1.32479916124347	5.2282759436947
hsa-miR-4775	0.417882370108044	1.88854771789758	1.73545139400881	1.08821700476158	0.276499319488913	NA	a.no_drinker_vs_a.drinker	NA	0.386287215048451	1.94165454979603	0	0.333065999027202
hsa-miR-4775-3p:Novel	0.565877618199064	-0.0702614483409598	1.0751043240551	-0.0653531445915372	0.947892829479772	NA	a.no_drinker_vs_a.drinker	NA	0.573593192647108	0.941180549746266	0	1.02731130842449
hsa-miR-4776-3p	1.72250006026668	-0.53192046188727	0.719946934852511	-0.738832872448078	0.460008488062731	NA	a.no_drinker_vs_a.drinker	NA	1.84698555519153	2.30479498957295	1.28024968958279	1.90786385850263
