ID	Average_NO	Average_YES	Median_NO	Median_YES	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-4756-5p	3.76106237126297	1.61198745761088	0.581655740927319	0.725561461727008	-1.41156429348585	0.0306044443211062	NA	NO_vs_YES	NA
hsa-miR-4757-3p	2.65016148297247	3.21999991845258	2.04776093887464	1.92134786794553	-0.977223109150574	0.0263362735191347	NA	NO_vs_YES	NA
hsa-miR-4757-5p	3.25988574235796	3.74037585696341	1.57953153965778	1.36317505403806	-0.90154123383404	0.109743887851311	NA	NO_vs_YES	NA
hsa-miR-4758-3p	0.376168910353206	0.631151915806187	0	0	-0.641653073994027	0.411500325591065	NA	NO_vs_YES	NA
hsa-miR-4758-5p	111.710303138544	127.997989937905	31.0523806613509	36.0700148742927	0.166317960977237	0.688335135724998	0.852415022729213	NO_vs_YES	FALSE
hsa-miR-4759	1.77551080386572	3.24192966202673	0.427981204753594	1.31430013881606	-0.54963709798588	0.212402603787782	NA	NO_vs_YES	NA
hsa-miR-4759-3p:Novel	5.15161458879338	4.60574639126866	1.02880783548694	1.41310502177818	-0.0310836907113925	0.959039857257312	NA	NO_vs_YES	NA
hsa-miR-4760-3p	0.179437150481081	0.0890340981028038	0	0	-0.845604915516947	0.762332729394485	NA	NO_vs_YES	NA
hsa-miR-4760-5p	11.1032937800729	12.5588132089705	6.99477265808737	6.90764932049828	0.0585397587125934	0.896735373016073	0.953830883657546	NO_vs_YES	FALSE
hsa-miR-4761-3p	2.56967121271214	2.57132707638508	1.67083957777273	1.51227994777767	0.380747028932629	0.399854363566497	NA	NO_vs_YES	NA
hsa-miR-4761-5p	0.822418478196748	1.10970017196035	0	0.28618241167791	-0.744517193819742	0.252087541557159	NA	NO_vs_YES	NA
hsa-miR-4762-3p	0.89907824292434	0.694835840516403	0.307568290898594	0	-0.264551345463772	0.688575458798383	NA	NO_vs_YES	NA
hsa-miR-4762-5p	0.423399618015697	0.933972823079628	0	0	-1.78507461491618	0.0563756247500383	NA	NO_vs_YES	NA
hsa-miR-4763-3p	10.6479349610554	11.7196022422089	5.62367155498615	6.82551417610415	-0.968961618692995	0.00696983789560927	NA	NO_vs_YES	NA
hsa-miR-4763-5p	1.08798932010268	1.24689756779123	0.733851867545436	0	-0.776059179128611	0.192318293165825	NA	NO_vs_YES	NA
hsa-miR-4764-3p	0.15778353588748	0.146951977137598	0	0	-1.33371627275693	0.494878224593052	NA	NO_vs_YES	NA
hsa-miR-4764-5p	1.07766386088467	1.81860258788882	0.227911194597391	1.02637591639904	-1.60546100644982	0.00580938745533555	NA	NO_vs_YES	NA
hsa-miR-4765	8.72770236047619	7.91902027250313	5.9442230494801	5.12971367522609	-0.32210586957741	0.344168308340457	NA	NO_vs_YES	NA
hsa-miR-4765-5p:Novel	1.74108029987637	1.44494861519147	0	0	-0.992597502438614	0.244640383081405	NA	NO_vs_YES	NA
hsa-miR-4766-3p	1.38088696868341	1.05844531948127	0.477609525190242	0	-0.169869078049184	0.783229764289048	NA	NO_vs_YES	NA
hsa-miR-4766-5p	1.16375654827088	1.15575543534265	0.744191307457511	0.551866284976627	-0.467875118349998	0.346174637633355	NA	NO_vs_YES	NA
hsa-miR-4767	14.8002100820383	26.9223946328238	8.7970671749169	13.499845385683	-1.02927073640234	0.0170011075987977	0.146511758890704	NO_vs_YES	FALSE
hsa-miR-4767-3p:Novel	19.96122336027	15.3329520630956	8.01902894713597	8.64441390090427	-0.693043359034281	0.05374471768813	0.246185481023047	NO_vs_YES	FALSE
hsa-miR-4768-3p	0.652187735897004	1.59447902574829	0	0	-0.75883822994149	0.262720818663106	NA	NO_vs_YES	NA
hsa-miR-4768-5p	3.45631566409529	3.61747223740174	2.0429472426633	2.54160134227632	-0.536691931091715	0.23630758480267	NA	NO_vs_YES	NA
hsa-miR-4769-3p	0.102212947758789	0.16682180951433	0	0	-1.6570409165175	0.343342829371489	NA	NO_vs_YES	NA
hsa-miR-4769-5p	6.45252243009022	6.12956778200828	4.07424731334725	4.48823447935911	0.731040415504163	0.045749844173522	NA	NO_vs_YES	NA
